Attack Class,Precision,Recall,F1-Score,Support,AUC
Backdoor_Malware,0.0,0.0,0.0,4,0.9888
BenignTraffic,0.7504,0.9527,0.8395,1120,0.9981
BrowserHijacking,0.0,0.0,0.0,6,0.9891
CommandInjection,0.0,0.0,0.0,6,0.9941
DDoS-ACK_Fragmentation,0.9867,0.9867,0.9867,301,0.9999
DDoS-HTTP_Flood,0.7,0.4118,0.5185,34,0.9983
DDoS-ICMP_Flood,0.9999,0.9992,0.9995,7311,1.0
DDoS-ICMP_Fragmentation,0.9364,0.9916,0.9632,475,1.0
DDoS-PSHACK_Flood,0.9993,0.9991,0.9992,4242,1.0
DDoS-RSTFINFlood,1.0,0.9995,0.9998,4134,1.0
DDoS-SYN_Flood,0.9494,0.9041,0.9262,4148,0.9952
DDoS-SlowLoris,0.4,0.0952,0.1538,21,0.9988
DDoS-SynonymousIP_Flood,0.9534,0.9456,0.9495,3638,0.9989
DDoS-TCP_Flood,0.9963,0.9825,0.9893,4630,0.9997
DDoS-UDP_Flood,0.9862,0.1814,0.3064,5525,0.9966
DDoS-UDP_Fragmentation,0.9899,0.9865,0.9882,297,1.0
DNS_Spoofing,0.3628,0.4216,0.39,185,0.9937
DictionaryBruteForce,0.0,0.0,0.0,13,0.9906
DoS-HTTP_Flood,0.7528,0.8072,0.7791,83,0.9972
DoS-SYN_Flood,0.8844,0.9903,0.9343,2055,0.9972
DoS-TCP_Flood,0.9714,0.9956,0.9833,2726,0.9996
DoS-UDP_Flood,0.4271,0.9956,0.5977,3391,0.9944
MITM-ArpSpoofing,0.8571,0.5944,0.702,323,0.9961
Mirai-greeth_flood,0.5841,0.994,0.7358,1003,0.9981
Mirai-greip_flood,0.7917,0.0505,0.095,752,0.9969
Mirai-udpplain,0.9989,0.9946,0.9968,932,1.0
Recon-HostDiscovery,0.4672,0.4604,0.4638,139,0.9955
Recon-OSScan,0.0,0.0,0.0,103,0.9922
Recon-PingSweep,0.0,0.0,0.0,1,0.9834
Recon-PortScan,0.0,0.0,0.0,86,0.9943
SqlInjection,0.0,0.0,0.0,6,0.9885
Uploading_Attack,0.0,0.0,0.0,2,0.9933
VulnerabilityScan,0.75,0.4286,0.5455,42,0.9992
XSS,0.0,0.0,0.0,4,0.998
