round,train_acc,test_acc,train_f1,test_f1,test_prec,test_rec
1,0.6012547853091663,0.6020780091331853,0.5258991264755536,0.5265013067425772,0.6527673628379197,0.6020780091331853
2,0.6706188563438406,0.6705350035611044,0.61874625113228,0.6178910226274374,0.6360720257977994,0.6705350035611044
3,0.6825906393853857,0.6823913863169802,0.6349664392913756,0.6342851016618881,0.737298502068293,0.6823913863169802
4,0.6972437666602077,0.6966986467803427,0.663043608949047,0.6620224291255958,0.7046526748330245,0.6966986467803427
5,0.749765644229611,0.7494029913276635,0.7110218140831717,0.7105109221508632,0.7288824562357957,0.7494029913276635
6,0.7540128515991181,0.7542419037244962,0.7121826854735396,0.7121752364118007,0.7353499306327722,0.7542419037244962
7,0.7542956496237215,0.7544513804516318,0.7145963585379751,0.7146158713695988,0.738355944966765,0.7544513804516318
8,0.7159608062885902,0.7139595290963174,0.6787744005800831,0.6761472562691322,0.7316648684243867,0.7139595290963174
9,0.7609256922005352,0.7607775776111274,0.724431062900364,0.7243515943428369,0.7364924339537454,0.7607775776111274
10,0.7116298069117932,0.711780971134107,0.6658574092670488,0.665726106364511,0.7988020204131856,0.711780971134107
11,0.7147144001801529,0.7151744941137039,0.6824159401307314,0.6831505289638523,0.8010420191871315,0.7151744941137039
12,0.6981916637426747,0.698353512924714,0.66405357807221,0.664102453619941,0.8319943078022901,0.698353512924714
13,0.7114779338985803,0.7121370815702376,0.6767087812740294,0.6775858731534358,0.8018142298224241,0.7121370815702376
14,0.6727293675274549,0.6739704218861284,0.6332349816149455,0.6350207033353609,0.8160808083112732,0.6739704218861284
15,0.7199828226385055,0.7210817378189284,0.6834363247419845,0.684500877941821,0.7899520548030535,0.7210817378189284
16,0.6185840198168098,0.6201349030122754,0.5531149864134323,0.5555391555827913,0.7523960245978778,0.6201349030122754
17,0.7113889048908347,0.7118228664795341,0.6714365484823556,0.6717939445314688,0.7789028978198913,0.7118228664795341
18,0.7083933406302206,0.7095186224810424,0.672161930526187,0.6732201380532614,0.7899576818588425,0.7095186224810424
19,0.720967378724162,0.7214378482550589,0.6844346234093922,0.6847370710115732,0.7952464359220781,0.7214378482550589
20,0.6402704387035282,0.6413967908165403,0.5775419835827347,0.5789545566144877,0.7003868516822468,0.6413967908165403
21,0.6769294418928614,0.6776572122837152,0.6127732392864567,0.6139922421778998,0.725547605227273,0.6776572122837152
22,0.6881889928724424,0.6888642171854706,0.6447221839454332,0.6455560382231572,0.7376279103899116,0.6888642171854706
23,0.6925514142519731,0.6928442750010474,0.6362371506155572,0.6366407303694381,0.8088246847231308,0.6928442750010474
24,0.6803282551885582,0.6806946248271817,0.6086240685071311,0.6089462246459323,0.7758964409763361,0.6806946248271817
25,0.8074878632514441,0.8078888935439272,0.7743160512628161,0.774720197610554,0.8269187788252692,0.8078888935439272
26,0.6730331135538808,0.6739494742134149,0.6120431648260177,0.6132777766864135,0.805668810203484,0.6739494742134149
27,0.6823392633635159,0.6826427583895429,0.6297894232578183,0.6300739272436233,0.76484059771637,0.6826427583895429
28,0.6593645423647152,0.659705056768193,0.590106611412713,0.5905985570562569,0.7286002820432113,0.659705056768193
29,0.7933374880203614,0.7937282667895597,0.7661565720642304,0.7670351524680059,0.8353275391915552,0.7937282667895597
30,0.8013867577206479,0.8012694289664418,0.769399287436441,0.7697676588140696,0.8742454416675478,0.8012694289664418
31,0.7802921198854145,0.7817461979974025,0.7478004540652647,0.7494303212315335,0.8581760048313374,0.7817461979974025
32,0.8140288768205123,0.8137123465582974,0.7836869408557804,0.7839326398375577,0.887207197788526,0.8137123465582974
33,0.8067965791913024,0.8070509866353848,0.7907990131863435,0.7912967394545194,0.8553145125355255,0.8070509866353848
34,0.9172606298016748,0.9181364950354015,0.9078344933390043,0.908863321367998,0.9237098877227539,0.9181364950354015
35,0.8595279367789305,0.8602371276551175,0.8381818801192078,0.8394642504595887,0.9130712092174731,0.8602371276551175
